commercial_district_code,area_size
3110726,44361
3110815,182950
3110816,92336
3110737,84015
3110738,114069
3110739,20887
3110713,250966
3110760,153365
3110762,342694
3110612,167833
3110613,23861
3110614,77332
3110615,31057
3110616,15723
3110646,203547
3110647,210252
3110794,81298
3110795,68722
3110796,24293
3110596,118222
3110597,181005
3110598,105945
3110599,105116
3110416,92687
3110417,29842
3110418,88266
3110465,72295
3110701,44097
3110702,91947
3110627,80881
3110628,95041
3110629,37678
3110630,187213
3110631,91895
3110656,201889
3110657,124877
3110658,65816
3110659,372788
3110714,140331
3110727,106562
3110728,50102
3110729,85219
3110777,45358
3110753,177282
3110754,134370
3110687,42464
3110688,79928
3110715,40106
3110716,50788
3110717,206144
3110671,231350
3110672,69786
3110673,145209
3110813,100264
3110814,141531
3110649,70187
3110740,148638
3110741,96407
3110742,35970
3110798,21568
3110765,81024
3110766,94929
3110767,27268
3110600,158307
3110466,102377
3110467,59339
3110514,91935
3110650,18832
3110651,142874
3110652,98467
3110799,29319
3110800,33962
3110802,44973
3110601,220158
3110602,61404
3110603,60198
3110660,151533
3110778,204978
3110611,105248
3110784,37357
3110785,109702
3110617,57686
3110618,123264
3110619,39755
3110632,70905
3110633,21731
3110634,238960
3110661,38920
3110662,230187
3110718,113693
3110745,79548
3110746,57787
3110747,72218
3110675,164488
3110676,73721
3110677,46900
3110678,27977
3110679,69101
3110680,136117
3110689,115792
3110690,163596
3110691,78095
3110719,12156
3110720,111299
3110721,71977
3110768,51407
3110817,51645
3110818,49264
3110819,181264
3110820,100016
3110730,115670
3110731,161006
3110732,134081
3110743,121078
3110744,207152
3110769,35768
3110770,47293
3110771,24375
3110772,40126
3110639,97165
3110640,79681
3110641,67482
3110786,54674
3110787,95882
3110788,10464
3110789,86491
3110810,117632
3110811,44661
3110812,59185
3110604,150486
3110605,38129
3110606,158709
3110607,36823
3110697,81457
3110698,131201
3110748,70150
3110620,177925
3110621,34475
3110622,90372
3110635,95722
3110636,44808
3110637,86547
3110638,180870
3111026,123212
3111027,124929
3111025,59147
3110830,126620
3110831,56494
3110880,38288
3110881,234224
3110882,147004
3110942,252432
3110943,57521
3110968,43750
3110969,55302
3110970,50014
3110971,133222
3110972,46603
3110973,66136
3111037,27617
3111017,32806
3111042,146365
3110848,116036
3111077,247203
3111028,53688
3111051,159647
3111052,129295
3111053,139845
3110823,88509
3110824,46862
3110825,182490
3110871,49950
3110849,119168
3110899,73363
3111029,43089
3111030,50911
3110856,127503
3110857,113505
3110858,23709
3110859,77274
3110872,53857
3110873,132683
3110926,98883
3110900,111817
3110983,56042
3110984,137098
3110832,100857
3110833,54544
3110910,60073
3110912,26478
3110929,186714
3110988,79185
3110989,40587
3111054,15538
3111055,11026
3111056,31985
3111057,116161
3110883,111515
3110884,43849
3111003,272855
3111004,245561
3111005,193689
3111006,182032
3111059,282300
3110829,92311
3110877,103978
3111058,39694
3110850,202958
3110851,115412
3110945,104024
3110947,84941
3111060,219221
3110860,69058
3110861,200822
3111019,182798
3111020,28997
3110901,92180
3110902,250733
3110903,92803
3111031,83345
3111032,77913
3110862,58047
3110913,148771
3110930,98532
3110931,44205
3110932,40038
3110934,80617
3110935,32304
3110992,138866
3110994,61589
3110995,122757
3110996,112841
3110835,39906
3110836,239852
3110915,76657
3111007,163064
3111008,104883
3110878,45308
3110879,51568
3110936,43233
3111043,67894
3111044,129883
3110885,138911
3110886,78673
3110887,56397
3111009,34040
3111010,200178
3111011,25839
3111012,120754
3111013,191523
3111045,42008
3111046,209850
3111047,131215
3110826,115676
3110827,68956
3110828,236972
3110852,44183
3110853,80033
3110854,47109
3110855,155155
3110949,62126
3110951,29000
3110952,21629
3110953,92947
3110954,39799
3110955,190913
3110956,71587
3111049,110424
3110863,109345
3111021,324278
3111022,80535
3111023,61838
3110904,47127
3110905,76869
3110906,37319
3110907,103888
3110908,28724
3111033,23375
3111034,139482
3110864,106563
3110865,181632
3110916,103116
3110939,218114
3110940,32454
3111024,34910
3110997,236964
3110999,239797
3111001,159591
3110837,148274
3110838,13134
3110839,68786
3110888,38688
3110917,48294
3110918,62846
3110919,88173
3110874,110847
3110875,62226
3110876,59122
3111089,126943
3111061,175331
3111062,106811
3110889,42797
3110890,53715
3110891,40509
3110957,94815
3110958,73119
3110959,35960
3111014,72714
3111015,226584
3111016,99527
3111038,83602
3111039,63272
3110843,42412
3111063,150522
3111064,51128
3111065,62233
3110961,63031
3111035,95041
3110821,128484
3110822,91041
3110866,139406
3110845,33058
3110846,212396
3110847,104588
3110895,315417
3111066,106562
3111067,203966
3111068,19646
3111069,110491
3111036,31938
