year_quarter_code,commercial_district_code,commercial_district_name,monthly_average_income_amount,expenditure_total_amount
20231,3110078,이촌동점보아파트,6369714.0,280907628.0
20231,3110079,후암동주민센터,3120023.0,5816513606.0
20231,3110080,해방촌예술마을,2584702.0,1988754967.0
20231,3110081,해방촌 남동측,2556761.0,1722026054.0
20231,3110082,용산구청,2938264.0,793578005.0
20231,3110083,서빙고역 1번,2562932.0,458293529.0
20231,3110084,경리단길북측,2766235.0,1886525027.0
20231,3110085,경리단길남측,2990558.0,2188939195.0
20231,3110086,이태원역 북측,4346460.0,1170012718.0
20231,3110087,이태원엔틱가구거리,2513895.0,738082090.0
20231,3110088,오산고등학교,2872106.0,1192315963.0
20231,3110089,서빙고동주민센터,2677303.0,1615979283.0
20231,3110090,한국폴리텍대학서울정수캠퍼스,3058691.0,1346925170.0
20231,3110091,리움미술관,5476727.0,285909396.0
20231,3110092,NH농협은행 보광동지점,2468307.0,1781029608.0
20231,3110093,우사단길,2777443.0,3403698511.0
20231,3110094,오산중학교,2253555.0,159791487.0
20231,3110095,한강진역 3번,4339790.0,1514634303.0
20231,3110096,한남힐사이드아파트,3453789.0,694524729.0
20231,3110097,한남초등학교,3463418.0,270829508.0
20231,3110098,서울독일학교,3218904.0,237450148.0
20231,3110099,유엔빌리지길,5729183.0,1353322823.0
20231,3110100,옥수동우편취급국,3723007.0,196356024.0
20231,3110101,옥정중학교,3704479.0,416897845.0
20231,3110102,옥수역 6번,2847836.0,252903110.0
20231,3110103,옥수터널,2213151.0,194443882.0
20231,3110104,신금호역 4번,2666215.0,1928005256.0
20231,3110105,금동어린이공원,2365874.0,1619463514.0
20231,3110005,세검정,3768541.0,884701599.0
20231,3110106,금북초등학교,2365668.0,448847476.0
20231,3110107,금호사거리,2369658.0,216936515.0
20231,3110108,성동구립금호도서관,649133.0,
20231,3110109,금호삼성래미안아파트,2494346.0,209484211.0
20231,3110110,상왕십리역 6번,2722217.0,1025524033.0
20231,3110111,대현산장미원,2121704.0,756269616.0
20231,3110112,행당역 2번,2622180.0,1692234915.0
20231,3110113,응봉산,2938811.0,789172732.0
20231,3110114,왕십리파출소,3041500.0,319484780.0
20231,3110115,상왕십리역 3번,2609932.0,909916791.0
20231,3110116,청계천박물관,2334335.0,1029149453.0
20231,3110117,성동구보건소,2205692.0,524998968.0
20231,3110118,왕십리역 9번,4163150.0,515886079.0
20231,3110119,마장지하차도,2189933.0,141386425.0
20231,3110120,서울숲카페거리,3108465.0,565691515.0
20231,3110121,한양대역 4번,2656203.0,451382057.0
20231,3110123,마장역 3번,2497084.0,1068633264.0
20231,3110124,뚝섬역교차로,2380327.0,426644891.0
20231,3110125,사근동살곶이상점가,2481227.0,2207499924.0
20231,3110126,서울숲역 1번,2683911.0,397341358.0
20231,3110127,성수1가1동주민센터,3016480.0,153848864.0
20231,3110128,성원중학교,2435523.0,4070992102.0
20231,3110129,성원어린이공원,3039148.0,536029154.0
20231,3110130,답십리역 6번,2237845.0,821791392.0
20231,3110131,성수동카페거리,2619989.0,1602323628.0
20231,3110132,성수2가3동주민센터,2818946.0,952107247.0
20231,3110133,서울교통공사,2556713.0,522124617.0
20231,3110134,성수119안전센터,2610406.0,2936426722.0
20231,3110135,성동세무서,2567089.0,453428765.0
20231,3110136,경수초등학교,2669023.0,1330547106.0
20231,3110137,성수초등학교,3333473.0,1510657423.0
20231,3110138,송정체육공원,2292404.0,1285313918.0
20231,3110139,자양4동주민센터,2460503.0,1598822707.0
20231,3110140,건대입구역 6번,2369396.0,3143153809.0
20231,3110141,건대입구역 1번,2282949.0,956074750.0
20231,3110142,화양사거리,2456645.0,2113204735.0
20231,3110143,뚝섬유원지역 1번,2680176.0,57752019.0
20231,3110144,어린이대공원역 4번,2488181.0,867862648.0
20231,3110145,장안초등학교,2340218.0,299544000.0
20231,3110146,신자초등학교,2667017.0,1506488855.0
20231,3110147,능동우편취급국,2463450.0,3195168079.0
20231,3110148,어린이대공원역 3번,2418795.0,657325391.0
20231,3110149,세종대학교,2772298.0,594089068.0
20231,3110150,중곡1동 마을마당,2480827.0,2331626455.0
20231,3110151,자양한강도서관,2491117.0,2108821996.0
20231,3110152,중곡어린이공원,2376956.0,731359996.0
20231,3110153,중곡1동주민센터,2616029.0,1118735342.0
20231,3110154,광진정말공원,2491844.0,2185328256.0
20231,3110155,광진구청,2754211.0,1783791264.0
20231,3110156,군자역 5번,2845498.0,2858750912.0
20231,3110157,자양동우체국,2628698.0,2938866512.0
20231,3110158,중곡3동주민센터,2363691.0,2796479673.0
20231,3110159,구의역 4번,2549359.0,4163589289.0
20231,3110160,광진경찰서,2586461.0,763674113.0
20231,3110161,중곡역 3번,2356839.0,2220720664.0
20231,3110162,군자역 4번,2769966.0,1745042930.0
20231,3110163,성자초등학교,2717384.0,1416070069.0
20231,3110164,아차산역 5번,2952316.0,1624780317.0
20231,3110165,국립정신건강센터,2515626.0,2118468606.0
20231,3110166,구의1동주민센터,2694438.0,2785503416.0
