year_quarter_code,commercial_district_code,commercial_district_name,total_household,household_under_20_pyeong,household_20_to_30_pyeong,household_30_to_40_pyeong,household_40_to_50_pyeong,household_over_50_pyeong,household_less_than_100_million_price,household_100_million_to_200_million_price,household_200_million_to_300_million_price,household_300_million_to_400_million_price,household_400_million_to_500_million_price,household_500_million_to_600_million_price,household_over_than_600_million_price,apartment_avg_area,apartment_avg_price
20221,3110542,마포구청역 7번,123,792.0,255.0,45.0,1.0,0.0,149.0,433.0,311.0,117.0,49.0,34.0,0.0,50,200278636
20214,3110542,마포구청역 7번,123,792.0,255.0,45.0,1.0,0.0,149.0,433.0,311.0,117.0,49.0,34.0,0.0,50,200278636
20213,3110542,마포구청역 7번,131,1045.0,485.0,76.0,1.0,0.0,221.0,581.0,358.0,216.0,213.0,18.0,0.0,49,177429146
20212,3110542,마포구청역 7번,131,1045.0,485.0,76.0,1.0,0.0,221.0,581.0,358.0,216.0,213.0,18.0,0.0,49,177429146
20211,3110542,마포구청역 7번,131,1045.0,485.0,76.0,1.0,0.0,221.0,581.0,358.0,216.0,213.0,18.0,0.0,49,177429146
20224,3110543,중암중학교,27,185.0,30.0,0.0,0.0,0.0,33.0,150.0,31.0,1.0,0.0,0.0,0.0,50,146954160
20223,3110543,중암중학교,27,185.0,30.0,0.0,0.0,0.0,33.0,150.0,31.0,1.0,0.0,0.0,0.0,50,146954160
20222,3110543,중암중학교,27,185.0,30.0,0.0,0.0,0.0,33.0,150.0,31.0,1.0,0.0,0.0,0.0,50,146954160
20221,3110543,중암중학교,27,185.0,30.0,0.0,0.0,0.0,33.0,150.0,31.0,1.0,0.0,0.0,0.0,50,146954160
20214,3110543,중암중학교,27,185.0,30.0,0.0,0.0,0.0,33.0,150.0,31.0,1.0,0.0,0.0,0.0,50,146954160
20213,3110543,중암중학교,27,279.0,35.0,1.0,0.0,0.0,62.0,226.0,26.0,0.0,1.0,0.0,0.0,50,128064176
20212,3110543,중암중학교,27,279.0,35.0,1.0,0.0,0.0,62.0,226.0,26.0,0.0,1.0,0.0,0.0,50,128064176
20211,3110543,중암중학교,27,279.0,35.0,1.0,0.0,0.0,62.0,226.0,26.0,0.0,1.0,0.0,0.0,50,128064176
20224,3110544,망리단길,339,2485.0,318.0,69.0,2.0,1.0,155.0,1624.0,834.0,117.0,70.0,41.0,34.0,46,199237426
20223,3110544,망리단길,341,2497.0,318.0,69.0,2.0,1.0,155.0,1636.0,834.0,117.0,70.0,41.0,34.0,46,199009595
20222,3110544,망리단길,341,2497.0,318.0,69.0,2.0,1.0,155.0,1636.0,834.0,117.0,70.0,41.0,34.0,46,199009595
20221,3110544,망리단길,341,2497.0,318.0,69.0,2.0,1.0,155.0,1636.0,834.0,117.0,70.0,41.0,34.0,46,199009595
20214,3110544,망리단길,341,2497.0,318.0,69.0,2.0,1.0,155.0,1636.0,834.0,117.0,70.0,41.0,34.0,46,199009595
20213,3110544,망리단길,355,2881.0,561.0,124.0,2.0,1.0,328.0,1893.0,817.0,238.0,219.0,74.0,0.0,47,182577618
20212,3110544,망리단길,355,2881.0,561.0,124.0,2.0,1.0,328.0,1893.0,817.0,238.0,219.0,74.0,0.0,47,182577618
20211,3110544,망리단길,355,2881.0,561.0,124.0,2.0,1.0,328.0,1893.0,817.0,238.0,219.0,74.0,0.0,47,182577618
20224,3110545,마포구청역 1번,23,177.0,26.0,1.0,1.0,0.0,57.0,69.0,63.0,5.0,11.0,0.0,0.0,44,169622881
20223,3110545,마포구청역 1번,23,177.0,26.0,1.0,1.0,0.0,57.0,69.0,63.0,5.0,11.0,0.0,0.0,44,169622881
20222,3110545,마포구청역 1번,23,177.0,26.0,1.0,1.0,0.0,57.0,69.0,63.0,5.0,11.0,0.0,0.0,44,169622881
20221,3110545,마포구청역 1번,23,177.0,26.0,1.0,1.0,0.0,57.0,69.0,63.0,5.0,11.0,0.0,0.0,44,169622881
20214,3110545,마포구청역 1번,23,177.0,26.0,1.0,1.0,0.0,57.0,69.0,63.0,5.0,11.0,0.0,0.0,44,169622881
20213,3110545,마포구청역 1번,22,214.0,110.0,1.0,1.0,0.0,68.0,73.0,77.0,108.0,0.0,0.0,0.0,45,149673488
20212,3110545,마포구청역 1번,22,214.0,110.0,1.0,1.0,0.0,68.0,73.0,77.0,108.0,0.0,0.0,0.0,45,149673488
20211,3110545,마포구청역 1번,22,214.0,110.0,1.0,1.0,0.0,68.0,73.0,77.0,108.0,0.0,0.0,0.0,45,149673488
20224,3110584,아현역 4번,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,63,272666667
20223,3110584,아현역 4번,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,63,272666667
20222,3110584,아현역 4번,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,63,272666667
20221,3110584,아현역 4번,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,63,272666667
20214,3110584,아현역 4번,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,63,272666667
20213,3110584,아현역 4번,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,63,233000000
20212,3110584,아현역 4번,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,63,233000000
20211,3110584,아현역 4번,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,63,233000000
20224,3110553,가좌역 2번,64,471.0,89.0,6.0,0.0,0.0,84.0,294.0,183.0,4.0,1.0,0.0,0.0,48,164023175
20223,3110553,가좌역 2번,64,471.0,89.0,6.0,0.0,0.0,84.0,294.0,183.0,4.0,1.0,0.0,0.0,48,164023175
20222,3110553,가좌역 2번,64,471.0,89.0,6.0,0.0,0.0,84.0,294.0,183.0,4.0,1.0,0.0,0.0,48,164023175
20221,3110553,가좌역 2번,64,471.0,89.0,6.0,0.0,0.0,84.0,294.0,183.0,4.0,1.0,0.0,0.0,48,164023175
20214,3110553,가좌역 2번,64,471.0,89.0,6.0,0.0,0.0,84.0,294.0,183.0,4.0,1.0,0.0,0.0,48,164023175
20213,3110553,가좌역 2번,64,524.0,122.0,6.0,0.0,0.0,141.0,306.0,204.0,1.0,0.0,0.0,0.0,49,148642270
20212,3110553,가좌역 2번,64,524.0,122.0,6.0,0.0,0.0,141.0,306.0,204.0,1.0,0.0,0.0,0.0,49,148642270
20211,3110553,가좌역 2번,64,524.0,122.0,6.0,0.0,0.0,141.0,306.0,204.0,1.0,0.0,0.0,0.0,49,148642270
20224,3110554,망원역 1번,128,1015.0,216.0,6.0,2.0,6.0,210.0,478.0,418.0,112.0,19.0,2.0,6.0,49,209058009
20223,3110554,망원역 1번,131,1024.0,218.0,12.0,2.0,6.0,210.0,480.0,426.0,119.0,19.0,2.0,6.0,50,210425582
20222,3110554,망원역 1번,131,1024.0,218.0,12.0,2.0,6.0,210.0,480.0,426.0,119.0,19.0,2.0,6.0,50,210425582
20221,3110554,망원역 1번,131,1024.0,218.0,12.0,2.0,6.0,210.0,480.0,426.0,119.0,19.0,2.0,6.0,50,210425582
20214,3110554,망원역 1번,131,1024.0,218.0,12.0,2.0,6.0,210.0,480.0,426.0,119.0,19.0,2.0,6.0,50,210425582
20213,3110554,망원역 1번,136,1223.0,237.0,12.0,2.0,7.0,353.0,609.0,444.0,62.0,6.0,2.0,5.0,50,188579650
20212,3110554,망원역 1번,136,1223.0,237.0,12.0,2.0,7.0,353.0,609.0,444.0,62.0,6.0,2.0,5.0,50,188579650
20211,3110554,망원역 1번,136,1223.0,237.0,12.0,2.0,7.0,353.0,609.0,444.0,62.0,6.0,2.0,5.0,50,188579650
20224,3110555,홍익지구대,5,30.0,4.0,3.0,0.0,0.0,0.0,5.0,29.0,3.0,0.0,0.0,0.0,65,261410000
20223,3110555,홍익지구대,5,30.0,4.0,3.0,0.0,0.0,0.0,5.0,29.0,3.0,0.0,0.0,0.0,65,261410000
20222,3110555,홍익지구대,5,30.0,4.0,3.0,0.0,0.0,0.0,5.0,29.0,3.0,0.0,0.0,0.0,65,261410000
20221,3110555,홍익지구대,5,30.0,4.0,3.0,0.0,0.0,0.0,5.0,29.0,3.0,0.0,0.0,0.0,65,261410000
20214,3110555,홍익지구대,5,30.0,4.0,3.0,0.0,0.0,0.0,5.0,29.0,3.0,0.0,0.0,0.0,65,261410000
20213,3110555,홍익지구대,5,30.0,5.0,3.0,0.0,0.0,0.0,11.0,24.0,3.0,0.0,0.0,0.0,65,240711111
20212,3110555,홍익지구대,5,30.0,5.0,3.0,0.0,0.0,0.0,11.0,24.0,3.0,0.0,0.0,0.0,65,240711111
20211,3110555,홍익지구대,5,30.0,5.0,3.0,0.0,0.0,0.0,11.0,24.0,3.0,0.0,0.0,0.0,65,240711111
20224,3110580,양원초등학교,8,48.0,11.0,0.0,0.0,0.0,1.0,34.0,5.0,12.0,7.0,0.0,0.0,43,215879356
20223,3110580,양원초등학교,9,53.0,11.0,0.0,0.0,0.0,1.0,39.0,5.0,12.0,7.0,0.0,0.0,40,207559428
20222,3110580,양원초등학교,9,53.0,11.0,0.0,0.0,0.0,1.0,39.0,5.0,12.0,7.0,0.0,0.0,40,207559428
20221,3110580,양원초등학교,9,53.0,11.0,0.0,0.0,0.0,1.0,39.0,5.0,12.0,7.0,0.0,0.0,40,207559428
20214,3110580,양원초등학교,9,53.0,11.0,0.0,0.0,0.0,1.0,39.0,5.0,12.0,7.0,0.0,0.0,40,207559428
20213,3110580,양원초등학교,6,41.0,12.0,0.0,0.0,0.0,5.0,23.0,24.0,1.0,0.0,0.0,0.0,50,176597917
20212,3110580,양원초등학교,6,41.0,12.0,0.0,0.0,0.0,5.0,23.0,24.0,1.0,0.0,0.0,0.0,50,176597917
20211,3110580,양원초등학교,6,41.0,12.0,0.0,0.0,0.0,5.0,23.0,24.0,1.0,0.0,0.0,0.0,50,176597917
20224,3110581,염리초등학교,1,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,71,640090909
20223,3110581,염리초등학교,1,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,71,640090909
20222,3110581,염리초등학교,1,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,71,640090909
20221,3110581,염리초등학교,1,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,71,640090909
20214,3110581,염리초등학교,1,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,71,640090909
20213,3110581,염리초등학교,1,30.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,40.0,0.0,72,489431818
20212,3110581,염리초등학교,1,30.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,40.0,0.0,72,489431818
20211,3110581,염리초등학교,1,30.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,40.0,0.0,72,489431818
20224,3110582,이대역 5번,27,144.0,12.0,1.0,0.0,0.0,3.0,75.0,63.0,13.0,3.0,0.0,0.0,42,230331751
20223,3110582,이대역 5번,28,144.0,12.0,2.0,1.0,0.0,3.0,75.0,63.0,13.0,3.0,2.0,0.0,45,241284188
20222,3110582,이대역 5번,28,144.0,12.0,2.0,1.0,0.0,3.0,75.0,63.0,13.0,3.0,2.0,0.0,45,241284188
20221,3110582,이대역 5번,28,144.0,12.0,2.0,1.0,0.0,3.0,75.0,63.0,13.0,3.0,2.0,0.0,45,241284188
20214,3110582,이대역 5번,28,144.0,12.0,2.0,1.0,0.0,3.0,75.0,63.0,13.0,3.0,2.0,0.0,45,241284188
20213,3110582,이대역 5번,16,48.0,12.0,2.0,1.0,0.0,5.0,40.0,16.0,2.0,0.0,0.0,0.0,64,191561458
20212,3110582,이대역 5번,16,48.0,12.0,2.0,1.0,0.0,5.0,40.0,16.0,2.0,0.0,0.0,0.0,64,191561458
20211,3110582,이대역 5번,16,48.0,12.0,2.0,1.0,0.0,5.0,40.0,16.0,2.0,0.0,0.0,0.0,64,191561458
20224,3110583,공덕래미안3차아파트,2,21.0,1.0,0.0,0.0,0.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,29,138772727
20223,3110583,공덕래미안3차아파트,2,21.0,1.0,0.0,0.0,0.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,29,138772727
20222,3110583,공덕래미안3차아파트,2,21.0,1.0,0.0,0.0,0.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,29,138772727
20221,3110583,공덕래미안3차아파트,2,21.0,1.0,0.0,0.0,0.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,29,138772727
20214,3110583,공덕래미안3차아파트,2,21.0,1.0,0.0,0.0,0.0,8.0,12.0,2.0,0.0,0.0,0.0,0.0,29,138772727
