year_quarter_code,service_code,major_category_code,major_category_code_name,middle_category_code,middle_category_code_name,service_name,store_count,franchise_store_count
20212,CS300043,C03,도소매업,C0302,전자소매,전자상거래업,55250,124
20212,CS100001,C01,외식업,C0101,음식(식사),한식음식점,56412,5981
20212,CS100004,C01,외식업,C0101,음식(식사),양식음식점,7624,739
20212,CS200006,C02,서비스업,C0202,의원,일반의원,9210,38
20212,CS200023,C02,서비스업,C0204,기타 서비스,통신기기수리,626,2
20212,CS200027,C02,서비스업,C0204,기타 서비스,모터사이클수리,653,1
20212,CS200036,C02,서비스업,C0204,기타 서비스,고시원,491,2
20212,CS200041,C02,서비스업,C0204,기타 서비스,사진관,4856,11
20212,CS200043,C02,서비스업,C0204,기타 서비스,건축물청소,3455,66
20212,CS300010,C03,도소매업,C0301,생활소매,반찬가게,8682,183
20212,CS300032,C03,도소매업,C0302,전자소매,가전제품,4016,8
20212,CS300037,C03,도소매업,C0303,잡화소매,중고차판매,752,5
20212,CS300041,C03,도소매업,C0303,잡화소매,예술품,1763,3
20212,CS100010,C01,외식업,C0102,제과/커피,커피-음료,14772,5603
20212,CS200013,C02,서비스업,C0204,기타 서비스,기타법무서비스,1568,0
20212,CS200016,C02,서비스업,C0203,여가/미용,당구장,3732,53
20212,CS200018,C02,서비스업,C0203,여가/미용,볼링장,143,0
20212,CS200035,C02,서비스업,C0204,기타 서비스,게스트하우스,980,18
20212,CS200044,C02,서비스업,C0204,기타 서비스,여행사,5849,9
20212,CS300005,C03,도소매업,C0301,생활소매,주류도매,920,3
20212,CS300021,C03,도소매업,C0303,잡화소매,문구,3871,409
20212,CS300023,C03,도소매업,C0303,잡화소매,미용재료,1794,6
20212,CS300025,C03,도소매업,C0302,전자소매,자전거 및 기타운송장비,819,0
20212,CS300040,C03,도소매업,C0303,잡화소매,재생용품 판매점,1196,0
20212,CS300042,C03,도소매업,C0303,잡화소매,주유소,1007,1
20212,CS200002,C02,서비스업,C0201,학원,외국어학원,3280,255
20212,CS200010,C02,서비스업,C0204,기타 서비스,변호사사무소,3773,1
20212,CS200019,C02,서비스업,C0203,여가/미용,PC방,1340,96
20212,CS200024,C02,서비스업,C0203,여가/미용,스포츠클럽,2466,136
20212,CS300004,C03,도소매업,C0302,전자소매,핸드폰,5404,50
20212,CS300006,C03,도소매업,C0301,생활소매,미곡판매,3029,5
20212,CS300008,C03,도소매업,C0301,생활소매,수산물판매,5021,6
20212,CS300026,C03,도소매업,C0303,잡화소매,완구,1000,14
20212,CS300031,C03,도소매업,C0303,잡화소매,가구,3435,3
20212,CS100009,C01,외식업,C0103,호프간이주점,호프-간이주점,8624,1314
20212,CS200009,C02,서비스업,C0202,의원,동물병원,899,11
20212,CS200032,C02,서비스업,C0204,기타 서비스,가전제품수리,2506,0
20212,CS200042,C02,서비스업,C0204,기타 서비스,통번역서비스,1229,4
