year_code,quarter_code,commercial_district_code,total_working_population_now,total_working_population_previous,working_population_diff
2022,1,3110540,238,238,0
2022,1,3110567,91,91,0
2022,1,3110565,110,110,0
2022,1,3110560,292,292,0
2022,1,3110549,357,357,0
2022,1,3110617,262,262,0
2022,1,3110597,517,517,0
2022,1,3110615,87,87,0
2022,1,3110677,410,410,0
2022,1,3110676,228,228,0
2022,1,3110636,152,152,0
2022,1,3110631,335,335,0
2022,1,3110656,829,829,0
2022,1,3110654,1027,1027,0
2022,1,3110665,469,469,0
2022,1,3110662,1480,1480,0
2022,1,3110691,395,395,0
2022,1,3110680,901,901,0
2022,1,3110732,362,362,0
2022,1,3110729,151,151,0
2022,1,3110723,286,286,0
2022,1,3110742,426,426,0
2022,1,3110748,102,102,0
2022,1,3110749,418,418,0
2022,1,3110750,397,397,0
2022,1,3110786,271,271,0
2022,1,3110817,26,26,0
2022,1,3110757,1501,1501,0
2022,1,3110762,3139,3139,0
2022,1,3110807,102,102,0
2022,1,3110803,312,312,0
2022,1,3110847,443,443,0
2022,1,3110843,181,181,0
2022,1,3110835,296,296,0
2022,1,3110830,281,281,0
2022,1,3110863,319,319,0
2022,1,3110867,202,202,0
2022,1,3110882,733,733,0
2022,1,3110864,236,236,0
2022,1,3110871,64,64,0
2022,1,3110854,55,55,0
2022,1,3110917,1505,1505,0
2022,1,3110918,682,682,0
2022,1,3110903,7222,7222,0
2022,1,3110915,3011,3011,0
2022,1,3110926,1610,1610,0
2022,1,3110961,962,962,0
2022,1,3110970,378,378,0
2022,1,3110958,997,997,0
2022,1,3110956,1199,1199,0
2022,1,3111025,686,686,0
2022,1,3111029,427,427,0
2022,1,3111042,872,872,0
2022,1,3111023,939,939,0
2022,1,3111006,1112,1112,0
2022,1,3111068,1570,1570,0
2022,1,3111054,104,104,0
2022,1,3111065,79,79,0
2022,1,3111049,507,507,0
2022,1,3111060,872,872,0
2022,1,3110007,283,283,0
2022,1,3110010,5240,5240,0
2022,1,3110051,111,111,0
2022,1,3110075,1630,1630,0
2022,1,3110093,2647,2647,0
2022,1,3110089,752,752,0
2022,1,3110064,923,923,0
2022,1,3110109,92,92,0
2022,1,3110104,213,213,0
