year_code,quarter_code,commercial_district_code,commercial_district_name,monthly_sales_now,monthly_sales_previous
2022,4,3110566,경의선책거리,16014260824.0,14184184871.0
2022,4,3110567,광흥창역 6번,230567399.0,228108735.0
2022,4,3110568,광흥창역 1번,1752630610.0,1723164345.0
2022,4,3110569,홍대땡땡거리,4504099002.0,3684171878.0
2022,4,3110570,KB국민은행 서강지점,887409127.0,812307888.0
2022,4,3110571,신수동주민센터,690392382.0,739812197.0
2022,4,3110572,서강대역 1번,6308510352.0,5897017789.0
2022,4,3110573,신촌역 6번,250417929.0,117605241.0
2022,4,3110574,서강대학교,408068290.0,
2022,4,3110575,대흥동주민센터,471323838.0,177804091.0
2022,4,3110576,대흥역 3번,10778989912.0,8817737703.0
2022,4,3110577,용강동주민센터,5386787557.0,4551967284.0
2022,4,3110578,대흥역 2번,7649526649.0,6962578226.0
2022,4,3110579,마포역 4번,2318053021.0,385702609.0
2022,4,3110580,양원초등학교,199549911.0,201570124.0
2022,4,3110582,이대역 5번,3076064028.0,2681045697.0
2022,4,3110583,공덕래미안3차아파트,1433440769.0,1171361453.0
2022,4,3110584,아현역 4번,10145802767.0,5625072234.0
2022,4,3110585,마포경찰서,173313641.0,50602345.0
2022,4,3110586,서울서부지방법원,5704491266.0,5142776477.0
2022,4,3110587,공덕동주민센터,878283325.0,823356403.0
2022,4,3110588,한겨레신문사,1008129275.0,705888614.0
2022,4,3110589,애오개역 3번,468482442.0,445102578.0
2022,4,3110590,만리재,1918805724.0,1593122023.0
2022,4,3110591,충정로역 6번,5060029394.0,7287790123.0
2022,4,3110592,서울금융고등학교,579759341.0,316957461.0
2022,4,3110593,신월3동주민센터,4478110627.0,3707763269.0
2022,4,3110594,신월중학교,1141273801.0,636798218.0
2022,4,3110595,메디힐병원,8002333533.0,3502963673.0
2022,4,3110596,서서울호수공원,839199169.0,891603411.0
2022,4,3110597,신월1동주민센터,4826660249.0,4430996066.0
2022,4,3110598,신월문화체육센터,4754979734.0,4633753929.0
2022,4,3110599,신월1파출소,1931194749.0,1520180284.0
2022,4,3110600,신월7동주민센터,5006506610.0,4797422150.0
2022,4,3110601,신월1동우편취급국,5050764172.0,3881769894.0
2022,4,3110602,신월시영아파트중문,611691491.0,412706504.0
2022,4,3110603,지향초등학교,3356355662.0,3884305857.0
2022,4,3110604,신월4동주민센터,2843915513.0,3111492175.0
2022,4,3110605,목동센트럴아이파크앞,1797425357.0,1091379731.0
2022,4,3110606,신한은행 신월동지점,7814248539.0,7356106567.0
2022,4,3110607,금빛새마을금고본점,1052542703.0,119528560.0
2022,4,3110608,신월2동주민센터,2572193191.0,2979501697.0
2022,4,3110609,신정네거리역 2번,339454422.0,335439342.0
2022,4,3110611,신정역 1번,1383433262.0,1401897001.0
2022,4,3110612,신정역 5번,2676946328.0,2155773179.0
2022,4,3110613,신정네거리역 4번,619028884.0,557961965.0
2022,4,3110614,목동로데오거리,3191669610.0,2983488612.0
2022,4,3110615,신서초등학교,4005702323.0,3767443285.0
2022,4,3110616,양목초등학교,108287921.0,132778359.0
2022,4,3110617,등촌역 4번,215667058.0,160150533.0
2022,4,3110618,강서고등학교,1961577950.0,1875702011.0
2022,4,3110619,목4동주민센터,1957654394.0,1712399133.0
2022,4,3110620,목동보건지소,6244633420.0,4679586556.0
2022,4,3110621,목동역 5번,4678239208.0,3204955600.0
2022,4,3110622,달마을공원,2292688465.0,2465125814.0
2022,4,3110624,목동문화체육센터,730656435.0,635170395.0
2022,4,3110625,신정2동주민센터,12238060126.0,11062304004.0
2022,4,3110626,양화초등학교,966941852.0,1050446964.0
2022,4,3110627,신정롯데캐슬아파트,9067103364.0,8089910557.0
2022,4,3110628,신목동역,1068710.0,505208.0
2022,4,3110629,송정역 4번,38406670.0,38129558.0
2022,4,3110630,공항시장역 1번,5220280420.0,4921222299.0
2022,4,3110631,방화초등학교,732081008.0,779659131.0
2022,4,3110632,방화역 3번,5094670321.0,3436014733.0
2022,4,3110633,개화산역 1번,2172896293.0,1238920765.0
2022,4,3110634,송정역 3번,9183212991.0,8031044910.0
2022,4,3110635,공항시장역 3번,475063037.0,347872814.0
2022,4,3110636,방화역 2번,5183301133.0,4830190241.0
2022,4,3110637,송정역 2번,620668494.0,587866946.0
2022,4,3110638,신방화역 2번,14217684138.0,13375438969.0
2022,4,3110639,신방화역 8번,1822840835.0,1636868847.0
2022,4,3110640,방화역 1번,6005539264.0,6139501807.0
2022,4,3110641,공항고등학교,1757221741.0,777576762.0
