기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20232,A,골목상권,3110637,송정역 2번,CS100001,한식음식점,228057978,7464,169910519,58147459,25670394,31682049,33932963,40244444,38380669,27023782,31123677,0,1114718,102342620,34080179,80610275,9910186,122376623,69714092,404169,9240330,25756022,33637568,62863652,60188974,5686,1778,1031,1074,1137,1198,1246,874,904,0,56,3457,1157,2533,261,4295,2243,19,429,1170,1102,1880,1939
20232,A,골목상권,3110638,신방화역 2번,CS100001,한식음식점,1966131928,59849,1325218559,640913369,242244018,239130311,258151911,280827884,304864435,327015617,313897752,52271361,45118806,363265387,200686074,913681880,391108420,1156116349,630038943,5769233,134298570,330436611,359820869,473276433,482553567,40989,18860,7080,8239,8049,8434,9187,9533,9327,1612,2382,15101,7981,24355,8418,36716,20245,581,3648,9867,11279,14537,17054
20232,A,골목상권,3110638,신방화역 2번,CS100002,중식음식점,220312688,10720,148840799,71471889,28588948,32700271,29684276,27239356,30627948,31873378,39598511,0,3968280,88996194,32482305,92014920,2850989,131765268,65123387,2592926,19569338,34079336,39179695,50433943,51033416,7451,3269,1424,1477,1549,1459,1542,1586,1683,0,240,4597,1849,3898,136,6780,3249,259,1007,1782,1909,2390,2684
20232,A,골목상권,3110638,신방화역 2번,CS100007,치킨전문점,33967683,1659,20631370,13336313,3661878,3379436,4764385,3495299,5330372,7744705,5591608,380387,775280,2768720,4102402,19827776,6113118,20876918,11040970,0,1989024,4314467,11023583,7409566,7181247,1044,615,186,189,224,195,250,354,261,25,52,135,222,952,273,1010,601,0,94,271,502,384,359
20232,A,골목상권,3110638,신방화역 2번,CS100008,분식전문점,380819119,38926,257044314,123774805,52642957,48531432,55048769,45755824,55065332,62177401,61597404,2356648,82107192,99724472,64117875,121229474,11283458,200885092,174518675,731395,24719573,65592030,89077838,117566840,77716092,27105,11821,5752,5339,5515,4848,5651,5951,5870,164,8493,9986,6860,12123,1300,20805,17738,110,2915,6388,8396,11952,8781
20232,A,골목상권,3110638,신방화역 2번,CS100010,커피-음료,107639831,19983,67921323,39718508,13520885,12932803,12624531,13966622,14876482,20162225,19556283,0,13994827,34244343,29446151,26479859,3474651,50444732,55410897,758420,17492298,27853057,22957602,20889137,15905113,12921,7062,2675,2572,2447,2450,2777,3325,3737,0,3025,5925,5666,4874,493,9882,9923,156,3450,5119,4456,3756,2868
20232,A,골목상권,3110639,신방화역 8번,CS100001,한식음식점,427594961,9168,347634770,79960191,47481819,72167792,81942744,68936424,77105991,60428379,19531812,12553573,445889,80109797,27371594,228302221,78811887,251228428,101637798,0,14323172,47901547,70793684,106573863,113273956,7450,1718,1337,1492,1689,1464,1468,1110,608,132,22,3174,957,3664,1219,5714,2547,0,338,1320,1659,2020,2921
20232,A,골목상권,3110639,신방화역 8번,CS100008,분식전문점,15872804,1686,11095522,4777282,0,2660480,2768250,3192899,2473893,2689433,2087849,0,5060382,5573496,918461,4320465,0,6956111,7866334,441690,1672426,4926546,3436653,3373185,971945,1315,371,0,328,328,356,303,232,139,0,499,574,112,501,0,741,900,35,186,581,359,355,124
20232,A,골목상권,3110639,신방화역 8번,CS100009,호프-간이주점,4115872,142,1721467,2394405,500791,156497,719885,0,344294,469491,1924914,469491,0,0,0,563389,3082992,3176890,938982,0,0,156497,1048530,1345875,1564970,94,48,30,16,32,0,16,16,32,16,0,0,0,47,79,110,32,0,0,16,32,16,78
20232,A,골목상권,3110639,신방화역 8번,CS100010,커피-음료,7800188,1718,7800188,0,1498096,1379294,1604197,1479417,1839184,0,0,0,2528085,2807903,2226597,237603,0,2525187,5094930,31755,700433,2914670,2019954,1395462,557844,1718,0,317,295,349,358,399,0,0,0,594,583,485,56,0,516,1184,7,194,619,455,243,182
