기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20204,A,골목상권,3110587,공덕동주민센터,699549,324042,375506,101634,116325,128853,116457,101823,134460,174878,147626,85471,86778,119374,85423,98484,97793,97731,97837,96241,101915,109548
20204,A,골목상권,3110586,서울서부지방법원,1161575,543657,617919,134894,184866,252262,207506,172847,209199,282175,235728,146938,145021,202625,149088,168622,169946,169891,166935,164378,159810,161994
20204,A,골목상권,3110585,마포경찰서,237141,109834,127306,31735,35277,52107,42074,33881,42066,50726,48275,31825,34449,43203,28661,35309,35655,35532,34880,33894,30805,31067
20204,A,골목상권,3110584,아현역 4번,143017,65259,77757,23584,20785,25893,22266,22172,28318,35804,29987,17980,18323,24052,16873,20324,20365,20529,20079,20153,21013,20554
20204,A,골목상권,3110583,공덕래미안3차아파트,366569,174572,191997,54198,53610,80328,69460,50681,58293,56517,77706,65238,66867,68017,32221,59421,59482,59380,57596,54357,39723,36611
20204,A,골목상권,3110582,이대역 5번,622429,262431,359997,55791,219323,93315,81613,78272,94112,161735,127937,78863,75466,99494,78933,89678,89494,88001,87057,87604,90886,89707
20204,A,골목상권,3110581,염리초등학교,112303,56036,56266,17323,15239,24311,24107,15754,15569,14580,23665,20224,19999,23086,10749,17498,17563,17654,16873,16199,13540,12975
20204,A,골목상권,3110580,양원초등학교,542188,258561,283627,52873,148742,82561,84256,79279,94479,171070,118048,61426,55487,67748,68408,80213,79637,80308,78196,77900,73476,72460
20204,A,골목상권,3110579,마포역 4번,398056,193518,204538,44923,54148,85262,72156,62378,79190,86423,83581,54590,55876,70851,46734,59251,59479,59325,58148,56779,52602,52471
20204,A,골목상권,3110578,대흥역 2번,1534651,716812,817839,281509,244254,234022,285348,222882,266634,342080,321217,206634,202812,269817,192090,224217,227466,229100,223802,220444,205984,203639
20204,A,골목상권,3110577,용강동주민센터,604943,271653,333288,163257,58044,81932,110798,72755,118157,146420,117308,72175,78308,113991,76741,86262,86728,85771,84394,83457,88325,90006
20204,A,골목상권,3110576,대흥역 3번,1144194,557779,586417,205547,206550,178583,196985,146945,209584,217616,225227,160049,170770,232659,137873,168455,169608,168115,166025,163149,157926,150916
20204,A,골목상권,3110575,대흥동주민센터,1083961,461434,622528,116455,380910,181736,138462,98854,167545,343411,233403,115726,107279,145880,138262,156866,158258,158197,153159,154584,153185,149711
20204,A,골목상권,3110574,서강대학교,73106,38587,34519,8725,23805,11832,10498,7784,10462,9620,14148,12372,13808,15521,7636,10946,11159,11032,10666,10081,9694,9528
20204,A,골목상권,3110573,신촌역 6번,122290,56063,66228,11433,47994,20728,13489,11378,17269,23299,25104,18826,18720,23119,13222,17849,18231,18105,17515,17626,17185,15779
20204,A,골목상권,3110572,서강대역 1번,1651029,824551,826477,197300,476958,280524,230855,179875,285516,375317,344702,222630,219777,290599,198006,238013,240005,238233,235802,231638,234759,232579
20204,A,골목상권,3110571,신수동주민센터,610029,286968,323062,104958,83167,97272,105502,89117,130013,156101,127400,74441,75847,101538,74704,86240,85013,86363,84936,84606,89411,93461
20204,A,골목상권,3110570,KB국민은행 서강지점,189686,90211,99475,34261,23600,30876,36923,28756,35271,42425,40658,26099,25816,32506,22183,27700,27420,27779,26964,26957,26414,26453
20204,A,골목상권,3110569,홍대땡땡거리,885811,407114,478697,87043,286972,155921,104224,109226,142427,211255,173276,113220,119825,159413,108823,123874,125935,127073,124506,126748,132435,125239
20204,A,골목상권,3110568,광흥창역 1번,287860,130292,157569,48102,34368,44874,51278,40695,68542,63793,59630,39875,41509,51644,31410,40822,40871,41249,41508,41501,40661,41247
20204,A,골목상권,3110567,광흥창역 6번,267563,124168,143395,56581,32225,40960,48487,36620,52689,49737,54271,39618,40985,54209,28742,37387,37050,37219,37090,36899,40697,41222
20204,A,골목상권,3110566,경의선책거리,1491043,678144,812899,153328,490101,304655,196015,143173,203771,290200,277297,211980,231504,306628,173434,207380,210236,213165,209466,216634,225266,208894
20204,A,골목상권,3110565,홍익대,331570,155075,176495,49454,130293,52463,36732,28496,34128,93021,70035,39582,39467,50801,38664,46513,46709,47218,46222,46526,49141,49240
20204,A,골목상권,3110564,홍대입구역 3번,635519,283153,352365,50806,223407,137855,89512,56370,77570,93406,109534,93369,107575,155154,76481,86158,88459,88974,87928,92994,100874,90130
20204,A,골목상권,3110563,상수역 3번,229052,105155,123898,26405,52596,47166,39058,23970,39856,55670,45579,28364,29674,41090,28676,32405,32314,32612,32176,32419,33678,33449
20204,A,골목상권,3110562,연트럴파크(연남동주민센터),1153112,516270,636842,100277,302807,265891,178104,111971,194063,300204,217406,129181,141507,209215,155599,157817,157835,159475,159716,166094,178175,174002
20204,A,골목상권,3110561,상수역 4번,831331,391740,439591,70477,220762,194225,125519,73479,146868,238221,171285,92089,89834,128031,111871,118535,118528,119981,116779,118174,119683,119652
20204,A,골목상권,3110560,마포FM,928885,415821,513064,119136,196520,192214,158327,104948,157740,262192,196116,109076,104602,138880,118019,135835,134604,134061,132805,131886,128947,130746
20204,A,골목상권,3110559,성산중학교,732976,342745,390231,56978,186413,195407,113853,77853,102473,180477,145409,96987,97378,123986,88738,104449,106897,107981,105611,106726,102285,99028
20204,A,골목상권,3110558,경성고등학교,2250236,1031170,1219066,284236,379012,461457,403879,288451,433203,653180,480585,249066,241149,333917,292340,321539,320907,321355,320925,318625,318717,328169
20204,A,골목상권,3110557,홍대부속여중고앞,1017297,464740,552557,119922,195858,219348,193917,123851,164401,280037,213665,122508,119209,155736,126141,147977,147532,147368,145011,143443,141776,144189
20204,A,골목상권,3110556,절두산순교성지,172768,81213,91555,10064,36280,39276,28716,25173,33257,28723,40728,25603,25801,33645,18267,25647,26247,26202,25408,25159,22986,21119
20204,A,골목상권,3110555,홍익지구대,210684,95094,115589,18749,48630,49849,35092,25578,32787,38041,38420,31790,33755,43729,24948,30889,31545,31564,30670,30789,28811,26414
20204,A,골목상권,3110554,망원역 1번,1189349,535388,653958,112492,243667,277963,212950,143469,198806,261819,234709,159021,164022,219249,150528,176265,177247,177007,173776,171579,159504,153969
20204,A,골목상권,3110553,가좌역 2번,641290,290652,350640,122475,96728,96725,103965,88303,133095,182251,138030,73383,70030,98076,79519,89844,89061,89050,89712,89949,94503,99172
20204,A,골목상권,3110552,성미산체육관,997504,464721,532783,140517,158643,195246,184575,131827,186699,266032,218414,123321,116139,150958,122641,143063,144033,144016,144296,141335,139467,141294
20204,A,골목상권,3110551,성서초등학교,1479503,650951,828553,260676,207897,251574,294605,190141,274612,387596,305622,176303,174991,247893,187095,206672,210644,210788,209856,210327,212979,218237
20204,A,골목상권,3110550,합정역 8번,1798886,781075,1017811,173302,376020,427460,293668,224486,303952,497763,365964,205097,203071,292830,234161,254496,256859,256300,255630,257862,258359,259380
20204,A,골목상권,3110549,새터산,1190506,515588,674917,198141,196553,197220,213555,152194,232842,287949,258322,146037,147460,203635,147105,166989,165954,168380,166984,165413,174269,182518
20204,A,골목상권,3110548,마포구청역 4번,1064728,485967,578762,129211,190222,213419,195668,137196,199012,272652,218837,123642,122648,181581,145368,149313,152379,152463,152464,151461,152122,154527
20204,A,골목상권,3110547,KB국민은행 망원동지점,874207,397405,476803,124757,144503,154743,161914,110987,177305,208689,168190,104162,110681,165199,117287,124378,122490,122363,121238,123651,129437,130651
20204,A,골목상권,3110546,양화대교북단,765784,333488,432295,93279,137643,173534,126251,90756,144322,245349,166499,78089,72212,102843,100789,107758,107835,107488,106632,108215,111613,116242
20204,A,골목상권,3110545,마포구청역 1번,566513,239628,326885,49825,128451,114992,99851,65551,107844,181066,123861,55656,51534,74978,79420,81837,81065,81191,80580,80091,80122,81629
20204,A,골목상권,3110544,망리단길,4654803,2025028,2629775,556268,861096,1013495,750938,546544,926463,1334647,918879,490702,501549,754256,654770,649498,647117,651624,646937,656288,697030,706309
20204,A,골목상권,3110543,중암중학교,109084,50525,58560,20528,13003,17033,19275,16124,23121,32386,23015,11713,12224,15845,13901,15897,15779,15770,15626,15567,15241,15205
20204,A,골목상권,3110542,마포구청역 7번,1512543,680843,831700,209576,239303,272522,272322,203470,315352,401578,314544,171335,169219,252519,203347,217223,213852,213200,213396,214763,217355,222756
20204,A,골목상권,3110541,동교초등학교,1574607,696108,878499,264887,235750,270428,277726,209576,316239,457002,322290,167597,167349,247640,212728,220746,219081,218444,219647,222438,233198,241052
20204,A,골목상권,3110540,망원나들목체육관,658970,318587,340382,90411,96732,123327,117293,94002,137204,204507,143369,63543,62055,93004,92492,91757,91240,91402,91890,92791,98012,101875
20204,A,골목상권,3110539,미근동,251467,137667,113799,13245,43179,67117,62974,36107,28846,32137,59181,50703,48770,42043,18632,44342,45375,44546,42464,37431,19567,17742
20204,A,골목상권,3110538,충정로역 3번,437145,211065,226080,27180,67801,103063,90077,67389,81636,74621,100165,72367,70610,75442,43938,70413,71685,71243,67425,62862,47723,45794
20204,A,골목상권,3110537,충정로현대아파트,429047,216344,212704,32570,77117,99832,87411,65143,66974,60695,99051,76368,74403,77675,40855,69757,71145,70543,67372,62678,44718,42837
20204,A,골목상권,3110536,돈의문센트레빌아파트입구,117149,58177,58970,14891,16739,20159,21293,19627,24441,18652,24661,18699,17940,23854,13343,17867,18106,18204,17510,16884,14692,13886
20204,A,골목상권,3110535,영천시장입구,1052653,476037,576616,157148,132690,156897,186058,162633,257226,296551,214872,116476,112476,168726,143553,151474,152645,151433,150560,149854,147447,149241
20204,A,골목상권,3110534,경기대학교,497194,241011,256185,79108,77103,72971,77034,78599,112381,119280,105653,63200,63235,84546,61279,70851,70967,71683,70596,68554,69719,74825
20204,A,골목상권,3110533,충정로역 7번,4113588,2115217,1998372,389768,645704,983675,889236,609702,595504,900544,952869,633034,624439,591445,411257,663649,680190,676070,647956,609488,428101,408137
20204,A,골목상권,3110532,아현역 2번,943615,460938,482678,116809,130657,178799,178288,150613,188449,137624,200819,155337,164658,185857,99321,147458,149076,148420,142710,137330,111222,107398
20204,A,골목상권,3110531,홍지문,31290,14459,16831,4513,4500,4173,4665,5115,8327,7707,6777,3958,3877,5054,3916,4441,4481,4468,4486,4427,4438,4551
20204,A,골목상권,3110530,아현역 1번,244294,110050,134244,39607,38178,44547,37958,37485,46518,66494,51185,29044,28938,38525,30108,34720,34879,35044,34406,34356,35554,35333
20204,A,골목상권,3110529,홍제3동주민센터,1155872,541321,614551,173598,132859,137278,165482,190886,355770,288243,234923,140331,143680,199330,149364,163334,163588,163979,164870,165641,169061,165398
20204,A,골목상권,3110528,서울여자간호대학교,852568,402082,450485,145523,100423,108167,124388,132912,241155,202994,164831,100030,109646,157533,117535,121608,122517,121650,122596,121848,121150,121198
20204,A,골목상권,3110527,홍제역 2번,413812,188019,225793,59437,56704,61295,58096,69360,108920,108633,81505,47167,49938,71337,55232,58629,57997,58002,58012,58003,61200,61969
20204,A,골목상권,3110526,봉원사,130987,51435,79551,14200,46439,19655,14782,14602,21310,28421,31115,19794,18834,19227,13595,20062,20266,20155,19359,18524,16383,16238
20204,A,골목상권,3110525,홍은종합사회복지관,399807,179217,220590,72033,45354,52736,58746,61809,109128,82880,78311,53881,57498,79021,48215,54637,54256,54505,55280,55986,61603,63538
20204,A,골목상권,3110524,연희세브란스병원,117783,51513,66272,5963,34292,21710,17166,16247,22404,14595,28653,23651,23398,18450,9039,19771,20446,20292,18935,17041,11454,9846
20204,A,골목상권,3110523,홍제성원아파트,112887,53194,59693,16751,13987,15966,17463,20017,28703,34322,22944,10577,9748,17522,17773,16036,15388,15295,16040,16160,16401,17566
20204,A,골목상권,3110522,홍제역 3번,393307,180705,212603,48266,55410,53938,59114,66367,110214,100129,76084,43395,45983,68892,58824,57457,57644,57761,57547,57529,53989,51381
20204,A,골목상권,3110521,홍제역 4번,601166,266653,334513,78127,82660,73329,80313,100617,186118,136945,122434,78384,80076,108687,74637,86907,86508,86256,85528,85386,86931,83651
20204,A,골목상권,3110520,경의중앙 신촌역,611927,244766,367161,44924,284401,100007,64407,54180,64007,129736,114759,82783,87719,123366,73564,85772,87986,88548,85657,86966,89984,87014
20204,A,골목상권,3110519,서대문구보건소별관,963237,411755,551484,193606,123726,107425,154523,134919,249038,282484,205910,104046,100648,144364,125785,135517,134926,135834,137227,134909,139987,144839
20204,A,골목상권,3110518,서대문구청,30170,13457,16714,5358,4508,4282,5094,5000,5931,8365,6528,3583,3445,4482,3766,4381,4353,4373,4315,4283,4143,4325
20204,A,골목상권,3110517,서대문소방서,244075,108494,135581,39025,53979,34694,42647,33582,40149,53784,51695,34907,34295,42225,27168,35506,35240,35312,34589,34241,34038,35152
20204,A,골목상권,3110516,정원여중,208465,93072,115394,35247,24425,27573,33379,31679,56164,52473,45285,25015,24981,33934,26779,29426,28550,28936,29277,29563,30661,32053
20204,A,골목상권,3110515,홍은중학교,293397,126857,166540,40121,33742,39804,42066,48862,88801,85437,65238,30530,29926,43206,39061,40425,39812,40422,40967,41013,44117,46640
