"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20221","A","골목상권","3110976","언북초등학교","4401766","08","6027666486","1374915138","744006639","463485952","673557171","1073302738","245775635","176677680","1018361148","257584385"
"20221","A","골목상권","3110977","논현로18길","3021145","07","4539025078","1142580419","559800061","345995081","547545009","764389145","177927265","140605718","663953697","196228683"
"20221","A","골목상권","3110978","도곡2동주민센터(대치중학교)","3734417","07","3947675092","910335651","500665330","299589437","465051049","720642942","175192168","112819007","592756520","170622988"
"20221","A","골목상권","3110979","청담초등학교","5428931","09","3312769335","729085451","429792030","258710789","372120128","595671767","176086709","93368980","519950660","137982821"
"20221","A","골목상권","3110980","개포지구대옆","3224738","07","5899611248","1477423759","735897998","448916927","720395041","1015633036","239363930","179930587","824846594","257203376"
"20221","A","골목상권","3110981","국악고교사거리","3083001","07","6954084064","1702034240","858672880","528870886","825946664","1194205394","278278639","210735690","1056927776","298411895"
"20221","A","골목상권","3110982","강남구보훈회관","5407520","09","6975311176","1548443003","851422479","500960496","764098345","1250257136","271982899","196716121","1299397847","292032850"
"20221","A","골목상권","3110983","국립국악고등학교","3110543","07","5487667814","1301326346","680402747","408217298","655187806","991922228","210271833","159440022","837472927","243426607"
"20221","A","골목상권","3110984","포이초등학교(개포목련어린이공원)","3265678","07","6058644168","1413178705","753679389","456618928","709855027","1088397764","246343050","175370903","951984484","263215918"
"20221","A","골목상권","3110985","청담근린공원","5048450","09","4513403989","995669107","576563247","354865584","513797467","823624501","223275711","126254931","709706404","189647037"
"20221","A","골목상권","3110986","삼성중앙역 7번","3816536","08","5831142013","1313192198","717470438","438200523","634395802","1024120682","235272040","171108463","1051607024","245774843"
"20221","A","골목상권","3110987","영동대교남단","5182933","09","4514302248","985305304","574596738","352513917","499270751","816166148","222340964","126664983","749389294","188054149"
"20221","A","골목상권","3110988","청담역 3번","5386124","09","4397530111","992455966","565963152","334906316","517987805","802874622","214431467","123038636","658108464","187763683"
"20221","A","골목상권","3110989","대치동아우편취급국","4166205","08","8700946389","1980479062","1074715505","664811410","923089974","1473264456","337719810","260450968","1614083320","372331884"
"20221","A","골목상권","3110991","삼성중앙역 5번","4043393","08","2543506425","571067281","318262909","194627371","280713567","443717692","110139020","75090956","442266616","107621013"
"20221","A","골목상권","3110992","도곡초등학교","4435610","08","13243892817","3022036984","1621007246","929670369","1440300053","2264413183","473592349","378629233","2539789901","574453499"
"20221","A","골목상권","3110993","개포지하차도 북측","3817707","08","5316153447","1247379756","661858398","403904729","649052072","1001266010","189950297","152784912","761659926","248297347"
"20221","A","골목상권","3110994","개포고등학교","5120824","09","3366626600","774730313","417389501","249495033","405774570","630495107","125547438","94333049","516778730","152082859"
"20221","A","골목상권","3110995","봉은사역 4번","5254241","09","8311666776","1828945878","1081597604","646899909","932219803","1513282383","428389712","233296203","1292845347","354189937"
"20221","A","골목상권","3110996","대치2동주민센터","5827291","09","9741680145","2200505071","1201594355","682745320","1088790331","1722419960","370256946","268644634","1782890039","423833489"
"20221","A","골목상권","3110997","대청초등학교","3980694","08","11587323246","2756218729","1432918556","874960753","1372272785","2015652663","484846719","333415601","1826439671","490597769"
