기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수
20232,A,골목상권,3110149,세종대학교,923,410,513,72,127,264,148,129,183,37,48,112,66,63,84,35,79,152,82,66,99,598,0,598
20232,A,골목상권,3110150,중곡1동 마을마당,5846,2926,2920,514,468,1189,999,896,1780,259,262,568,533,460,844,255,206,621,466,436,936,3330,0,3330
20232,A,골목상권,3110151,자양한강도서관,4707,2315,2392,515,519,750,870,780,1273,266,276,366,441,385,581,249,243,384,429,395,692,2312,0,2312
20232,A,골목상권,3110152,중곡어린이공원,2070,1067,1003,229,215,359,322,364,581,123,108,191,171,201,273,106,107,168,151,163,308,996,0,996
20232,A,골목상권,3110153,중곡1동주민센터,2407,1168,1239,245,235,516,467,329,615,126,106,255,246,145,290,119,129,261,221,184,325,1412,0,1412
20232,A,골목상권,3110154,광진정말공원,4782,2336,2446,519,528,794,796,765,1380,294,250,394,405,384,609,225,278,400,391,381,771,2148,0,2148
20232,A,골목상권,3110155,광진구청,3905,1939,1966,342,490,728,635,666,1044,177,248,378,326,317,493,165,242,350,309,349,551,2111,0,2111
20232,A,골목상권,3110156,군자역 5번,6196,2946,3250,617,514,1552,1214,763,1536,321,260,675,632,373,685,296,254,877,582,390,851,3544,0,3544
20232,A,골목상권,3110157,자양동우체국,5967,2977,2990,780,746,930,1044,1009,1458,418,417,455,504,504,679,362,329,475,540,505,779,2602,0,2602
20232,A,골목상권,3110158,중곡3동주민센터,7012,3495,3517,687,741,1100,1088,1241,2155,359,371,573,582,614,996,328,370,527,506,627,1159,3649,0,3649
20232,A,골목상권,3110159,구의역 4번,9198,4495,4703,819,967,1742,1508,1479,2683,404,502,847,787,712,1243,415,465,895,721,767,1440,4855,0,4855
20232,A,골목상권,3110160,광진경찰서,1905,915,990,195,260,335,333,327,455,99,124,171,155,152,214,96,136,164,178,175,241,944,0,944
