year_code,quarter_code,commercial_district_code,commercial_district_name,apartment_complexes,household_under_20_pyeong,household_20_to_30_pyeong,household_30_to_40_pyeong,household_40_to_50_pyeong,household_over_50_pyeong,household_less_than_100_million_price,household_100_million_to_200_million_price,household_200_million_to_300_million_price,household_300_million_to_400_million_price,household_400_million_to_500_million_price,household_500_million_to_600_million_price,household_over_than_600_million_price,apartment_avg_area,apartment_avg_price
2023,1,3110357,가오리역 1번,19,115.0,47.0,4.0,0.0,0.0,26.0,108.0,23.0,5.0,4.0,0.0,0.0,59,154435743
2023,2,3110357,가오리역 1번,19,115.0,47.0,4.0,0.0,0.0,26.0,108.0,23.0,5.0,4.0,0.0,0.0,59,154435743
2023,3,3110357,가오리역 1번,19,115.0,47.0,4.0,0.0,0.0,26.0,108.0,23.0,5.0,4.0,0.0,0.0,59,154435743
2023,1,3110360,수유초등학교,64,521.0,47.0,1.0,0.0,0.0,150.0,379.0,40.0,0.0,0.0,0.0,0.0,48,133033770
2023,2,3110360,수유초등학교,64,521.0,47.0,1.0,0.0,0.0,150.0,379.0,40.0,0.0,0.0,0.0,0.0,48,133033770
2023,3,3110360,수유초등학교,64,521.0,47.0,1.0,0.0,0.0,150.0,379.0,40.0,0.0,0.0,0.0,0.0,48,133033770
2023,1,3110361,삼양사거리역 1번,41,278.0,84.0,16.0,0.0,0.0,43.0,228.0,107.0,0.0,0.0,0.0,0.0,56,162887650
2023,2,3110361,삼양사거리역 1번,41,278.0,84.0,16.0,0.0,0.0,43.0,228.0,107.0,0.0,0.0,0.0,0.0,56,162887650
2023,3,3110361,삼양사거리역 1번,41,278.0,84.0,16.0,0.0,0.0,43.0,228.0,107.0,0.0,0.0,0.0,0.0,56,162887650
2023,1,3110362,우이천 계성교,149,1279.0,128.0,1.0,2.0,0.0,376.0,969.0,65.0,0.0,0.0,0.0,0.0,50,127186527
2023,2,3110362,우이천 계성교,149,1279.0,128.0,1.0,2.0,0.0,376.0,969.0,65.0,0.0,0.0,0.0,0.0,50,127186527
2023,3,3110362,우이천 계성교,149,1279.0,128.0,1.0,2.0,0.0,376.0,969.0,65.0,0.0,0.0,0.0,0.0,50,127186527
2023,1,3110363,송천동주민센터,3,20.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,13.0,1.0,0.0,0.0,57,288210714
2023,2,3110363,송천동주민센터,3,20.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,13.0,1.0,0.0,0.0,57,288210714
2023,3,3110363,송천동주민센터,3,20.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,13.0,1.0,0.0,0.0,57,288210714
2023,1,3110017,정독도서관,10,15.0,15.0,1.0,0.0,22.0,6.0,10.0,8.0,7.0,0.0,0.0,22.0,164,1153964394
