year_code,quarter_code,commercial_district_code,commercial_district_name,total_foot_traffic,age_10_foot_traffic,age_20_foot_traffic,age_30_foot_traffic,age_40_foot_traffic,age_50_foot_traffic,age_over_60_foot_traffic,time_00_to_06_foot_traffic,time_06_to_11_foot_traffic,time_11_to_14_foot_traffic,time_14_to_17_foot_traffic,time_17_to_21_foot_traffic,time_21_to_24_foot_traffic,mon_foot_traffic,tue_foot_traffic,wed_foot_traffic,thu_foot_traffic,fri_foot_traffic,sat_foot_traffic,sun_foot_traffic
2023,3,3110905,방배노인종합복지관(이수중학교),368849,65556,41791,49806,60364,54567,96765,121345,74343,35042,34864,51460,51797,52062,52035,52275,52005,51183,52720,56568
2023,3,3110904,이수역 5번,289250,41303,38399,56829,52222,46182,54316,40559,59018,49925,52117,61479,26154,43790,44108,43542,42786,42039,36291,36696
2023,3,3110903,방배아이파크아파트,821181,193105,93794,94850,148868,121243,169320,225226,169453,97634,95249,129093,104526,120627,120737,120479,118710,118158,110937,111531
2023,3,3110902,사당역 4번,2391282,306650,430465,443292,316687,332770,561418,652070,498957,264060,263837,397834,314524,339350,340544,337085,337257,336536,345596,354914
2023,3,3110901,인헌고등학교(인헌중학교),1166659,160288,214994,227440,170070,157625,236242,361609,248025,116608,110713,168749,160956,164237,162642,159849,160481,161279,171655,186517
2023,3,3110900,낙성대역 1번(관악구민 종합체육센터),1783385,201699,491209,366865,232669,189591,301352,533215,369495,175429,173024,279100,253123,250891,250806,248280,247438,243340,263086,279542
2023,3,3110899,낙성대역 5번(관악중학교),884928,72965,249922,201590,128256,83904,148291,290043,190169,82803,76567,121733,123613,123644,123648,122471,121728,120079,130578,142781
2023,3,3110897,서울대입구역 8번,1486439,135006,423872,320772,183696,166451,256643,471137,313164,150662,145942,210352,195181,209800,209482,207145,205849,203365,219220,231578
2023,3,3110896,관악우성아파트,186229,28021,28919,28610,28759,26429,45491,43998,37072,23414,24348,33339,24057,26753,26708,26718,26413,26677,26344,26616
2023,3,3110895,샤로수길,3788093,427741,1280117,741657,463479,364895,510205,961510,727661,423583,425188,713814,536335,529115,530993,524875,521974,531087,568534,581516
2023,3,3110893,관악소방서(문영여고),85402,14995,18575,14158,10257,11153,16263,32505,20143,7669,6049,8016,11020,12533,12362,12553,12289,12105,11393,12167
2023,3,3110892,관악구 중앙길,4482825,417631,1218342,919018,591422,520202,816209,1294863,904499,466644,469645,723886,623288,637008,634800,629173,626615,622443,655964,676823
2023,3,3110891,구암초등학교,198151,47235,18510,26831,36507,27341,41728,53337,39621,22075,23393,32964,26761,28455,28416,28156,27996,27571,28201,29356
2023,3,3110890,봉천역 1번(관악초등학교),857695,73370,257426,175189,102251,92104,157355,246091,173495,90137,89582,141603,116786,118472,118192,117962,117738,117989,128218,139125
2023,3,3110889,봉천역 6번,484186,66775,69471,80922,79167,63715,124135,138297,95955,50537,50432,79571,69395,68837,68586,67962,67305,67969,71089,72436
2023,3,3110888,청룡동주민센터,823187,78630,215278,170629,99344,99741,159565,210687,165348,91843,94365,145517,115427,114507,114407,114100,113294,112701,122704,131474
2023,3,3110887,서울산업정보학교(서울삼성초등학교),507813,68391,168215,95557,60375,49769,65508,111930,109509,68694,68310,87097,62273,73092,73939,73253,72304,71410,70891,72924
2023,3,3110886,관악해태어린이공원,1179649,116066,401461,249135,157243,111017,144727,368859,257597,122432,115308,162132,153320,165857,166100,164501,165088,162619,173604,181881
