commercial_district_code,commercial_district_name,latitude,longitude,gu_code,gu_name,dong_code,dong_name,area_size
3110204,간데메공원,127.05088371301225,37.573518572379605,11230,동대문구,11230600,답십리1동,122554
3110205,경희대삼거리,127.0513258738915,37.59099765389255,11230,동대문구,11230710,회기동,88816
3110228,장안근린공원,127.0696432221665,37.5758335619501,11230,동대문구,11230660,장안2동,177937
3110229,장평중학교,127.06999492654315,37.56456190380795,11230,동대문구,11230650,장안1동,205648
3110230,장안현대홈타운1차아파트,127.07158379588344,37.56900286007882,11230,동대문구,11230660,장안2동,79796
3110232,동대부고,127.07347096415802,37.577299862320345,11230,동대문구,11230660,장안2동,104535
3110224,외대앞역 2번,127.06353452878629,37.59425330406559,11230,동대문구,11230720,휘경1동,45770
3110225,촬영소사거리,127.06358153868928,37.569647147721206,11230,동대문구,11230610,답십리2동,54806
3110210,서울시립대,127.05416397669767,37.585617460347805,11230,동대문구,11230560,전농1동,110970
3110211,전곡마을마당공원,127.05465790447084,37.5798238453243,11230,동대문구,11230560,전농1동,126403
3110212,답십리초등학교,127.05645053947013,37.570011170999635,11230,동대문구,11230600,답십리1동,80982
3110213,청량초등학교,127.05666041481288,37.59303145545398,11230,동대문구,11230740,이문1동,35455
3110214,경희대후문,127.056471314137,37.597518483440886,11230,동대문구,11230740,이문1동,79862
3110215,회기역 1번,127.05838017647953,37.59131873274638,11230,동대문구,11230720,휘경1동,51478
3110216,전농중학교,127.0583704812324,37.57890305419834,11230,동대문구,11230570,전농2동,65069
3110217,자동차부품상가,127.05893705293438,37.56520764897779,11230,동대문구,11230610,답십리2동,56649
3110218,답십리사거리,127.05816024441098,37.57059598801341,11230,동대문구,11230610,답십리2동,82160
3110219,삼육보건대학교,127.06017759350853,37.587713860831755,11230,동대문구,11230730,휘경2동,179445
3110220,외대앞역 1번,127.06118009171786,37.59521860885541,11230,동대문구,11230740,이문1동,98625
3110221,의릉,127.06111932250863,37.60398528040108,11290,성북구,11290810,석관동,47130
3110226,장안1동주민센터,127.06660322921046,37.568960725192056,11230,동대문구,11230650,장안1동,285861
3110227,답십리공원,127.06701717715495,37.57615943992586,11230,동대문구,11230610,답십리2동,55458
3110254,오거리공원,127.08299094516109,37.57668988738031,11260,중랑구,11260570,면목7동,165615
3110255,상봉역 4번,127.0827833599205,37.593691768235416,11260,중랑구,11260590,상봉2동,191245
3110233,중랑역 1번,127.07391960683593,37.59596815056542,11260,중랑구,11260610,중화2동,124330
3110234,중랑역 4번,127.07362308419515,37.59382397632805,11260,중랑구,11260610,중화2동,58421
3110236,신묵초등학교,127.07492901956759,37.60887870447146,11260,중랑구,11260630,묵2동,180650
3110237,메가박스 상봉,127.07474165969481,37.591408615387756,11260,중랑구,11260520,면목2동,124410
3110238,배꽃어린이공원,127.07551271298087,37.603706651767816,11260,중랑구,11260610,중화2동,29174
3110243,중랑노인종합복지관,127.0779878628827,37.58811789372319,11260,중랑구,11260520,면목2동,128302
3110244,중화역 4번,127.07827562121437,37.60341653482143,11260,중랑구,11260610,중화2동,63066
3110245,KB국민은행 중화동지점,127.0787672252466,37.59708224403993,11260,중랑구,11260610,중화2동,62374
