year_code,quarter_code,commercial_district_code,commercial_district_name,monthly_average_income_amount,expenditure_total_amount
2023,1,3110220,외대앞역 1번,2274022.0,1052784773.0
2023,1,3110221,의릉,2325126.0,792796632.0
2023,1,3110224,외대앞역 2번,2095350.0,479081821.0
2023,1,3110225,촬영소사거리,2167292.0,608524074.0
2023,1,3110226,장안1동주민센터,2381620.0,5513795995.0
2023,1,3110227,답십리공원,2336609.0,329706355.0
2023,1,3110228,장안근린공원,2139784.0,2459321483.0
2023,1,3110229,장평중학교,2741705.0,3867383324.0
2023,1,3110230,장안현대홈타운1차아파트,2676850.0,1606983224.0
2023,1,3110232,동대부고,2615495.0,1496916254.0
2023,1,3110233,중랑역 1번,2181045.0,2099117197.0
2023,1,3110234,중랑역 4번,2799471.0,533976463.0
2023,1,3110236,신묵초등학교,2302638.0,4101752581.0
2023,1,3110237,메가박스 상봉,2246608.0,1798296072.0
2023,1,3110238,배꽃어린이공원,2245554.0,494310950.0
2023,1,3110240,태릉시장 특화거리,2203641.0,452109710.0
2023,1,3110241,먹골역 5번,2174657.0,1169696735.0
2023,1,3110242,면목5동주민센터,2262595.0,1548084171.0
2023,1,3110243,중랑노인종합복지관,2262344.0,2245670405.0
2023,1,3110244,중화역 4번,2396955.0,648060114.0
2023,1,3110245,KB국민은행 중화동지점,2195985.0,823774016.0
2023,1,3110246,월드순복음교회,2485820.0,1582494821.0
2023,1,3110247,먹골역 1번,2434899.0,3027505272.0
2023,1,3110248,먹골파출소,2317595.0,701632349.0
2023,1,3110249,중화역 1번,2305998.0,2996600695.0
2023,1,3110250,화랑대역 7번,2376236.0,837452361.0
2023,1,3110251,장안중학교,2264168.0,1956561058.0
2023,1,3110252,장안제일시장,2187656.0,1609159460.0
2023,1,3110253,중곡초등학교,2223931.0,1319802527.0
2023,1,3110254,오거리공원,2442112.0,3064842846.0
2023,1,3110255,상봉역 4번,2284611.0,3384168997.0
2023,1,3110256,면목2동체육관,2229798.0,3381807066.0
2023,1,3110257,상봉역 7번,2320274.0,1915817542.0
2023,1,3110258,면동초등학교,2284233.0,2427790906.0
2023,1,3110259,사가정역 1번,2200617.0,1689907663.0
2023,1,3110260,면목역 3번,2329447.0,1131088424.0
2023,1,3110261,사가정역 4번,2301363.0,2049190973.0
2023,1,3110262,상봉역 3번,2463390.0,1871263107.0
2023,1,3110263,면목역 1번,2308576.0,3031564949.0
2023,1,3110264,면목역 2번,2323249.0,4528599068.0
2023,1,3110265,망우역 1번,2173587.0,566665128.0
2023,1,3110266,면목동우체국,2281476.0,2303386088.0
2023,1,3110267,망우역 2번,2413882.0,2104376139.0
2023,1,3110268,망우3동주민센터,2273997.0,1193651496.0
2023,1,3110269,용마문화복지센터,2144758.0,559965390.0
2023,1,3110270,혜원여고,2375124.0,507501588.0
2023,1,3110271,신내역 1번,2478703.0,248644769.0
2023,1,3110272,신내1동주민센터,2478067.0,1698895571.0
2023,1,3110273,장스여성병원,2083484.0,1024587505.0
2023,1,3110274,서일대학교,2273345.0,3038319662.0
2023,1,3110275,하나은행 망우동지점,2125813.0,373962029.0
2023,1,3110276,신내IC북측,2568220.0,532575479.0
2023,1,3110277,러스크서울병원,2194639.0,2029877252.0
2023,1,3110278,망우본동주민센터,2079492.0,1703577835.0
2023,1,3110280,북정마을,3039241.0,472892235.0
2023,1,3110281,길상사,5645168.0,850269857.0
2023,1,3110282,국민대학교앞,2382980.0,854374378.0
2023,1,3110283,성북초등학교앞,3079970.0,186734062.0
2023,1,3110284,정릉북한산국립공원입구,2282983.0,1235665183.0
2023,1,3110285,홍대부중,2801380.0,954339972.0
2023,1,3110286,한성대입구역 5번,2990915.0,938905625.0
2023,1,3110287,정릉3동주민센터,2551003.0,653136039.0
2023,1,3110288,동구여중,3002659.0,757952652.0
2023,1,3110289,북한산보국문역 2번,2361624.0,2386560843.0
2023,1,3110290,북한산보국문역 1번,2464893.0,757215894.0
2023,1,3110291,한성대입구역 3번,2438553.0,1889956539.0
2023,1,3110292,정릉역 2번,2356639.0,220628352.0
2023,1,3110293,삼선중학교,2815753.0,853617494.0
2023,1,3110294,서경대학교,2398150.0,3660078558.0
2023,1,3110295,정릉우체국,2476680.0,2411285496.0
2023,1,3110296,성신여대입구역 4번,2619792.0,1285530434.0
2023,1,3110297,경동고등학교,2576371.0,2444848004.0
2023,1,3110298,솔숲어린이공원,2812484.0,343629174.0
2023,1,3110299,정릉역 1번,2274929.0,1538894506.0
2023,1,3110300,삼선동주민센터,2475089.0,1866589661.0
2023,1,3110301,성신여대입구역 7번,2565696.0,1890630343.0
2023,1,3110302,보문역 8번,2299982.0,1121577415.0
2023,1,3110303,성신여대입구역 1번,2484720.0,1248500863.0
2023,1,3110304,보문역 4번,2783152.0,1298302405.0
2023,1,3110305,보문역 5번,2655140.0,2192021130.0
2023,1,3110306,미아초등학교,2549976.0,414264830.0
2023,1,3110307,길음역 7번,4793914.0,1066063312.0
2023,1,3110308,길음역 8번,2332887.0,674164139.0
2023,1,3110309,대광초등학교,2597964.0,592424353.0
